name,internal_id,address,valid_until,country_codes,countries,status,node_id,sourceID
"LEDERMAN, DANY / BENTO MANDONNET, RENATO",17564,,The Panama Papers  data is current through 2015,,,,11003893,Panama Papers
"CINCUNEGUI, JUAN BAUTISTA (MR.)",17568,,The Panama Papers  data is current through 2015,,,,11003894,Panama Papers
"ARTOLA UGARTE, JOSE IGNACIO (MR.)",17569,,The Panama Papers  data is current through 2015,,,,11003895,Panama Papers
JESUS ENRIQUE ARMENTEROS RIUS,17593,JESUS ENRIQUE ARMENTEROS RIUS PISO 14; TORRE PIANTINI. ENSANCHE PIANTINI ABRAHAM LINCOLN ESQ. GUSTAVO MEJÍA RICART DISTRITO NACIONAL; SANTO DOMINGO REPUBLICA DOMINICANA,The Panama Papers  data is current through 2015,DOM,Dominican Republic,SUSPENDED,11003896,Panama Papers
MANAGEMENT TRUSTEES GROUP S.A.,17632,MANAGEMENT TRUSTEES GROUP S.A. RUE DU CONSAIL GENERAL 14 1205 GENEVE SWITZERLAND,The Panama Papers  data is current through 2015,CHE,Switzerland,ACTIVE,11003897,Panama Papers
RAFAEL VILLEGAS,17643,,The Panama Papers  data is current through 2015,VEN,"Venezuela, Bolivarian Republic of",ACTIVE,11003898,Panama Papers
ABC GLOBAL MANAGEMENT SERVICES LTD / PMA CLIENT,17645,ABC GLOBAL MANAGEMENT SERVICES LTD 3RD FLOOR; RAFFLES TOWER CYBERCITY; EBENE  REPUBLIC OF MAURITIUS,The Panama Papers  data is current through 2015,MUS,Mauritius,ACTIVE,11003899,Panama Papers
MR. SALAH HAFEZ,17669,"MR. SALAH HAFEZ 6 DOKKI STREET 12311 POSTAL CODE GIZA, EGYPT",The Panama Papers  data is current through 2015,EGY,Egypt,SUSPENDED,11003900,Panama Papers
COMPAGNIE FINANCIERE DE CREDIT ET DE GESTION,1769,"COMPAGNIE FINANCIERE DE CREDIT ET DE GESTION 58A, RUE PRINCIPALE L-6990 RAMELDANGE LUXEMBOURG",The Panama Papers  data is current through 2015,LUX,Luxembourg,SUSPENDED,11003901,Panama Papers
ALLIOT PARTELLAS KILIARIS LTD.,23287,ALLIOT PARTELLAS KILIARIS LTD. CERTIFIED PUBLIC ACCOUNTANTS 77; STROVOLOU; STROVOLOS CENTER OFFICE 201; 2018 NICOSIA-CYPRUS,The Panama Papers  data is current through 2015,CYP,Cyprus,ACTIVE,11003902,Panama Papers
SMILE PROFESSIONALS LIMITED,23295,SMILE PROFESSIONALS LIMITED NIEDERLASSUNG: HAUPTSTRASSE 47  D-89542 HERBRECHTINGEN  GERMANY,The Panama Papers  data is current through 2015,DEU,Germany,SUSPENDED,11003903,Panama Papers
ALEXANDRE VIDAL TAVARES PAIS,23378,,The Panama Papers  data is current through 2015,BRA,Brazil,ACTIVE,11003904,Panama Papers
ALEXANDER VOLOSHIN,23391,ALEXANDER VOLOSHIN EDIFICIO CABO MARZO TORRE II; APTO. 1103 SAN FRANCISCO; DETRÁS DE ATLAPA PANAMÁ; REPÚBLICA DE PANAMÁ,The Panama Papers  data is current through 2015,PAN,Panama,SUSPENDED,11003905,Panama Papers
JULIO CESAR DELGADO,23407,,The Panama Papers  data is current through 2015,,,,11003906,Panama Papers
"PÉREZ DE LA PEÑA Y ASOCIADOS, S.C.",23425,,The Panama Papers  data is current through 2015,,,,11003907,Panama Papers
GLOBAL LINE ASSET MANAGEMENT,23443,,The Panama Papers  data is current through 2015,BRA,Brazil,ACTIVE,11003908,Panama Papers
DANDUE ENTERPRISES LTD.,23485,,The Panama Papers  data is current through 2015,BRA,Brazil,ACTIVE,11003909,Panama Papers
ARAMIS MAIA PATTI,23486,,The Panama Papers  data is current through 2015,BRA,Brazil,ACTIVE,11003910,Panama Papers
NEW WORLD DEVELOPMENT COMPANY LIMITED (NO. 2),23496,NEW WORLD DEVELOPMENT COMPANY LIMITED (NO. 2) 30/F.; NEW WORLD TOWER; 18 QUEEN¿S ROAD CENTRAL; HONG KONG,The Panama Papers  data is current through 2015,HKG,Hong Kong,SUSPENDED,11003911,Panama Papers
JUAN BERNARDO DAVALOS SALAZAR,23506,,The Panama Papers  data is current through 2015,ECU,Ecuador,ACTIVE,11003912,Panama Papers
QUTUBUDDIN YOUSAFALI,21923,QUTUBUDDIN YOUSAFALI C/O ABC BANK; ABC TOWER PO BOX 5698 MANAMA; BAHRAIN,The Panama Papers  data is current through 2015,BHR,Bahrain,SUSPENDED,11003913,Panama Papers
EVGENY L. ANDREEV,21932,"EVGENY L. ANDREEV 5 BAKUNINA PROSPECT SAINT PETERSBURG 191024, SAINT PETERSBURG RUSSIA",The Panama Papers  data is current through 2015,RUS,Russian Federation,ACTIVE,11003915,Panama Papers
HONGKONG OFFSHORE-GOD ENTERPRISE CONSULTANCY GROUP,21930,ZHU YU BO ROOM 1511; BUILDING 9; SHUI YIN CHENG; BIN JIANG DISTRICT; HANGZHOU CITY; ZHEJIANG; CHINA.,The Panama Papers  data is current through 2015,CHN,China,ACTIVE,11003914,Panama Papers
ALL PRO GRAPHICS SUPPLIES INC.,22053,ALL PRO GRAPHICS SUPPLIES INC.  104A N. FRANKLYN ST A HEMPSTEAD NY 11550 U.S.A.,The Panama Papers  data is current through 2015,USA,United States,SUSPENDED,11003918,Panama Papers
AMAURI BATISTA ARIAS,22077,AMAURI BATISTA ARIAS PUNTA PACÍFICA; CALLE PUNTA CHIRIQUÍ EDIFICIO BLUE BAHÍA; APTO. 2800N. PANAMA PANAMA,The Panama Papers  data is current through 2015,PAN,Panama,ACTIVE,11003920,Panama Papers
DOMINIQUE BLIN,22098,"DR. DOMINIQUE BLIN 44, CHEMIN DU ROCHASSON 38240  MEYLAN FRANCE",The Panama Papers  data is current through 2015,FRA,France,SUSPENDED,11003921,Panama Papers
TROWERS & HAMLINS (BAHRAIN),21394,TROWERS & HAMLINS (BAHRAIN) 9TH FLOOR; THE TOWER SHERATON COMMERCIAL COMPLEX PO BOX 3012; MANAMA BAHRAIN,The Panama Papers  data is current through 2015,BHR,Bahrain,SUSPENDED,11003922,Panama Papers
HOET PELÁEZ CASTILLO & DUQUE (VENEZUELAN CLIENT),21404,,The Panama Papers  data is current through 2015,VEN,"Venezuela, Bolivarian Republic of",ACTIVE,11003923,Panama Papers
MANUEL E. CARDENAS MORENO,21434,"MANUEL E. CARDENAS MORENO    6ª. AVENIDA 6-63, ZONA 10 EDIFICIO SIXTINO NIVEL 14 APARTADO POSTAL 01010 CIUDAD DE GUATEMALA",The Panama Papers  data is current through 2015,GTM,Guatemala,ACTIVE,11003924,Panama Papers
PÉREZ-LUNA CARRILLO-BATALLA & ASOCIADOS (VENEZUELAN CLIENT),21435,,The Panama Papers  data is current through 2015,VEN,"Venezuela, Bolivarian Republic of",ACTIVE,11003925,Panama Papers
DON FRANCISCO JAVIER DIAZ DIEGUEZ,21443,DON FRANCISCO JAVIER DIAZ DIEGUEZ; CALLE JAZMÍN 64; 4º C MADRID; ESPAÑA,The Panama Papers  data is current through 2015,ESP,Spain,PROSPECT,11003926,Panama Papers
EXPERTA SA,21448,,The Panama Papers  data is current through 2015,CHE,Switzerland,SUSPENDED,11003927,Panama Papers
PAUL  CONNOLLY,21453,,The Panama Papers  data is current through 2015,GBR,United Kingdom,SUSPENDED,11003928,Panama Papers
IRINA ADLEROVA,21465,,The Panama Papers  data is current through 2015,,,,11003929,Panama Papers
"DALIAN AITA INTERNATIONAL TRANSPORT CO., LTD. QINGDAO BRANCH",21480,DALIAN AITA INTERNATIONAL TRANSPORT CO.; LTD. C¿8A; JINDU GARDEN NO. 37 DONGHAI XI ROAD QINGDAO CHINA P.R. CHINA,The Panama Papers  data is current through 2015,CHN,China,SUSPENDED,11003930,Panama Papers
JAKUBOWICZ & COLLEGEN,21605,,The Panama Papers  data is current through 2015,DEU,Germany,ACTIVE,11003931,Panama Papers
JAIME J. ARIZALETA A.,18720,,The Panama Papers  data is current through 2015,VEN,"Venezuela, Bolivarian Republic of",ACTIVE,11003932,Panama Papers
CONIFER HOTEL MANAGEMENT LIMITED,18765,CONIFER HOTEL MANAGEMENT LIMITED UNIT B; 18/F.; LIPPO LEIGHTON TOWER 103 LEIGHTON ROAD; CAUSEWAY BAY HONG KONG,The Panama Papers  data is current through 2015,HKG,Hong Kong,SUSPENDED,11003933,Panama Papers
BUFETE OFICINA DE ABOGADOS,18772,,The Panama Papers  data is current through 2015,GTM,Guatemala,ACTIVE,11003934,Panama Papers
MARROQUIN MARROQUIN & ASOCIADOS,18776,,The Panama Papers  data is current through 2015,GTM,Guatemala,ACTIVE,11003935,Panama Papers
EXPRINTER INVESTIMENTOS,18791,,The Panama Papers  data is current through 2015,BRA,Brazil,ACTIVE,11003936,Panama Papers
KLAUS BURGER/HERBERT BURGER,18796,,The Panama Papers  data is current through 2015,,,,11003937,Panama Papers
RENATO LUTFALLA SRUR,19295,,The Panama Papers  data is current through 2015,BRA,Brazil,ACTIVE,11003960,Panama Papers
NIETO & CHALELA,18046,NIETO & CHALELA CALLE 72; NO. 5-83; PISO 4TO. BOGOTA; COLOMBIA,The Panama Papers  data is current through 2015,COL,Colombia,ACTIVE,11004039,Panama Papers
TRUSTLINK INTERNATIONAL LIMITED,18063,TRUSTLINK INTERNATIONAL LIMITED 501 ST JAMES COURT ST DENIS STREET PORT LOUIS MAURITIUS,The Panama Papers  data is current through 2015,MUS,Mauritius,SUSPENDED,11004040,Panama Papers
MIDDLE EAST COLLEGES LIMITED,18086,,The Panama Papers  data is current through 2015,ARE,United Arab Emirates,ACTIVE,11004041,Panama Papers
SOVICO CORPORATION PTE. LTD.,18856,SOVICO CORPORATION PTE. LTD.  26 PHAN BOI CHAU STREET; HOAN KIEM DISTRICT; HANOI; VIETNAM.,The Panama Papers  data is current through 2015,VNM,Viet Nam,ACTIVE,11003938,Panama Papers
GRANTOKEN LIMITED,18870,"GRANTOKEN LIMITED ROOM 3205 BANK OF AMERCIA TOWER 12 HARCOURT ROAD CENTRAL, HONG KONG",The Panama Papers  data is current through 2015,HKG,Hong Kong,ACTIVE,11003939,Panama Papers
ALIPSA CORP.,18871,,The Panama Papers  data is current through 2015,,,,11003940,Panama Papers
ISA OVERSEAS LC,18879,,The Panama Papers  data is current through 2015,BRA,Brazil,ACTIVE,11003941,Panama Papers
ASIAN PACIFIC INVESTMENT CORPORATION,18886,ASIAN PACIFIC INVESTMENT CORPORATION UNIT D; 26/F; UNITED CENTRE; 95 QUEENSWAY; HONG KONG,The Panama Papers  data is current through 2015,HKG,Hong Kong,ACTIVE,11003942,Panama Papers
SHANGHAI DERONG MARKET CONSULTANCY CO. LTD.,28204,SHANGHAI DERONG MARKET CONSULTANCY CO. LTD. FLAT B; 19TH FLOOR NO. 21; LANE 99; PUMING ROAD; PUDONG NEW AREA; SHANGHAI; CHINA,The Panama Papers  data is current through 2015,CHN,China,SUSPENDED,11003943,Panama Papers
MARCO ANTONIO DE LEÓN,28230,,The Panama Papers  data is current through 2015,,,,11003944,Panama Papers
ANGEL & ASOCIADOS,28257,"ANGEL & ASOCIADOS SAN FRANCISCO, CALLE 65 ESTE EDIFICIO ANGEL & ASOCIADOS PANAMÁ",The Panama Papers  data is current through 2015,PAN,Panama,ACTIVE,11003945,Panama Papers
ARISTIZABAL & ROJAS ABOGADOS ASOCIADOS,28260,"ARISTIZABAL & ROJAS CARRERA 11B NO. 908 OFICINA 202, EDIFICIO ESPACIO BARRIO CHICO. BOGOTA COLOMBIA",The Panama Papers  data is current through 2015,COL,Colombia,SUSPENDED,11003946,Panama Papers
AMSW TECNOLOGIA DA INFORMAÇÃO LTDA.,28296,,The Panama Papers  data is current through 2015,BRA,Brazil,ACTIVE,11003947,Panama Papers
BANQUE J. SAFRA SARASIN - LUXEMBOURG S.A.,28301,BANQUE SAFRA-LUXEMBOURG S.A. 10A BOULEVARD JOSEPH II L-1840 LUXEMBOURG  GRAND-DUCHÉ DE LUXEMBOURG ATTENTION: CMO DEPARTMENT *S.I.*,The Panama Papers  data is current through 2015,LUX,Luxembourg,ACTIVE,11003948,Panama Papers
HSBC PRIVATE BANK (LUXEMBOURG) S.A.,28313,"HSBC PRIVATE BANK (LUXEMBOURG) S.A. 16, BOULEVARD D'AVRANCHES L-1160 LUXEMBOURG",The Panama Papers  data is current through 2015,LUX,Luxembourg,ACTIVE,11003949,Panama Papers
UBI BANCA INTERNATIONAL S.A.,28335,"UBI BANCA INTERNATIONAL SA 37/A AVENUE J.F. KENNEDY L-1855, LUXEMBOURG",The Panama Papers  data is current through 2015,LUX,Luxembourg,ACTIVE,11003950,Panama Papers
ECS INTERNATIONAL LTD (GIBRALTAR),2834,ECS INTERNATIONAL LTD. (GIBRALTAR) P.O. BOX 398 SUITE C; GROUND FLOOR NEPTUNE HOUSE MARINA BAY; GIBRALTAR GIBRALTAR GIBRALTAR,The Panama Papers  data is current through 2015,GIB,Gibraltar,ACTIVE,11003951,Panama Papers
COSCO (H.K.) PROPERTY DEVELOPMENT LIMITED,18887,"COSCO (H.K.) PROPERTY DEVELOPMENT LIMITED 4208, 42/F COSCO TOWER 183 QUEEN'S ROAD CENTRAL HONG KONG",The Panama Papers  data is current through 2015,HKG,Hong Kong,ACTIVE,11003952,Panama Papers
T & J INTERNATIONAL LIMITED,18921,T & J INTERNATIONAL LIMITED 15F.-5; NO.236; SEC. 2; WUQUAN W. RD.; NANTUN DIST.; TAICHUNG CITY 408; TAIWAN (R.O.C.)  TAIWAN,The Panama Papers  data is current through 2015,TWN,"Taiwan, Province of China",ACTIVE,11003953,Panama Papers
JOESUN INVESTMENT CONSULTING (BJ) LTD,18922,JOESUN INVESTMENT CONSULTING (BJ) LTD UNIT 1603; TOWER 11; JIANWAI SOHO; DONGSANHUANZHONG ROAD; CHAOYANG DISTRICT; BEIJING (PEKING) PEOPLE'S REPUBLIC OF CHINA,The Panama Papers  data is current through 2015,CHN,China,ACTIVE,11003954,Panama Papers
ORION TRUST (JSY) LIMITED,18934,,The Panama Papers  data is current through 2015,,,,11003955,Panama Papers
NANCY BROADHURST,1899,MS. NANCY BROADHURST 300 NE 20TH STREET  APARTMENT 402  BOCA RATON  FLORIDA 33431-8153  U.S.A.,The Panama Papers  data is current through 2015,USA,United States,ACTIVE,11003956,Panama Papers
ERIC FREITAS,19066,,The Panama Papers  data is current through 2015,BRA,Brazil,ACTIVE,11003957,Panama Papers
ROJ ENTERPRISES (P) LTD.,19076,ROJ ENTERPRISES (P) LTD. A 8; SAKET; 45/1+2/A; KARVENAGAR OFF PATWARDHAN BAUGH PUNE 411 052 INDIA,The Panama Papers  data is current through 2015,IND,India,SUSPENDED,11003958,Panama Papers
HOMERBONNER,19189,,The Panama Papers  data is current through 2015,USA,United States,ACTIVE,11003959,Panama Papers
LEYDELISES PÉREZ LAVOI DE MOSSACK,23567,"LEYDELISES PÉREZ LAVOI DE MOSSACK P.O. BOX 0832-00809  WORLD TRADE CENTER, MARBELLA PANAMÁ",The Panama Papers  data is current through 2015,PAN,Panama,SUSPENDED,11003961,Panama Papers
STAV,23635,,The Panama Papers  data is current through 2015,ECU,Ecuador,SUSPENDED,11003962,Panama Papers
